Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
18-AUG-2023,533.4,533.5,528.55,530.2,11059532,462.5
21-AUG-2023,529.8,536.4,529.5,535.45,8968502,387.24
22-AUG-2023,537.85,540.25,535.15,536.6,10916484,500.76
23-AUG-2023,537.9,541.2,537.65,538.9,10807777,427.12
24-AUG-2023,541.3,547.35,538.4,540,51515444,736.55
25-AUG-2023,538.25,538.95,531.05,532.95,47076821,647.02
28-AUG-2023,535.55,541.25,535.4,537.95,50138006,854.17
29-AUG-2023,539.9,548.7,539.9,547.05,51530128,1010.43
30-AUG-2023,550.8,555.95,549.9,554.8,35449174,966.53
31-AUG-2023,555.85,561.4,551.25,558.4,32688675,886.28
01-SEP-2023,559.4,565.25,557,563.65,26062045,658.88
04-SEP-2023,565.65,574,563.65,570.15,26916194,861.77
05-SEP-2023,572.2,580.05,570.15,576.2,22359447,841.01
06-SEP-2023,577,577.4,569.95,570.65,47567161,778.85
07-SEP-2023,570.9,579.9,570.15,579.1,26035273,823.49
08-SEP-2023,580.9,593.1,580.85,591.4,31498050,1541.88
11-SEP-2023,595.1,599.1,591.95,596.6,18811430,745.14
12-SEP-2023,599.75,599.9,575,577.25,36419299,916.32
13-SEP-2023,577.15,582.55,565.3,581.15,32556507,869.36
14-SEP-2023,585.35,594.4,585.35,589.25,24827310,856.08
15-SEP-2023,592,593,583.05,586.95,16352544,744.6
18-SEP-2023,587.55,587.8,578.25,578.9,11477365,371.52
20-SEP-2023,576.75,578.7,570.25,572.15,21744609,579.23
21-SEP-2023,570.85,579.1,563.15,565.25,15473389,571.17
22-SEP-2023,566.5,570.75,559.95,561.5,15274496,421.48
25-SEP-2023,562.4,572.05,557.4,570.05,72928123,1240.5
26-SEP-2023,571.7,573.95,569.4,571.8,19712007,542.09
27-SEP-2023,570.8,577.45,569.8,576,31193797,650.91
28-SEP-2023,578.95,579.4,568.6,570.4,29290817,728.53
29-SEP-2023,571.95,578.45,571.9,575.65,10147552,713.45
03-OCT-2023,576.1,579.25,571.8,578.3,5957518,433.22
04-OCT-2023,576.7,578.25,561.45,568.3,11338237,731.42
05-OCT-2023,571.55,577.8,566.55,569.95,13135111,979.58
06-OCT-2023,571.9,588.7,571.9,587.5,16788587,1124.01
09-OCT-2023,586.6,588.65,580.9,582.85,10489617,740.9
10-OCT-2023,587.55,612.25,585.4,606.2,33445898,2573.02
11-OCT-2023,609.75,617.4,608.5,611.3,15056051,1193.18
12-OCT-2023,612.7,614.8,606.25,610.2,10681613,611.73
13-OCT-2023,606.6,619.9,602.4,612.8,12563653,902.88
